"ZIP","Borough","MahaD12","MahaD23","MahaD13"
"10001","Manhattan","32.62","49.93","25.56"
"10002","Manhattan","12.54","10.96","3.63"
"10003","Manhattan","18.49","17.64","19.66"
"10004","Manhattan","7.37","17.77","27.9"
"10005","Manhattan","18.31","18.43","7.44"
"10006","Manhattan","6.76","5.6","11.08"
"10007","Manhattan","13.96","15.44","9.57"
"10009","Manhattan","28.32","24.86","15.09"
"10010","Manhattan","18.83","30.79","28.74"
"10011","Manhattan","4.29","22.51","25.26"
"10012","Manhattan","21.49","25.09","23.51"
"10013","Manhattan","20.84","27.9","23.14"
"10014","Manhattan","20.49","13.31","24.69"
"10016","Manhattan","15.84","7.34","16.58"
"10017","Manhattan","13.86","14.53","12.36"
"10018","Manhattan","29.47","14.97","24.37"
"10019","Manhattan","37.34","16.14","23.87"
"10020","Manhattan","0","0","0"
"10021","Manhattan","12.5","15.65","18.39"
"10022","Manhattan","24.37","23.25","8.52"
"10023","Manhattan","16.25","15.57","26.82"
"10024","Manhattan","45.84","32.6","14.1"
"10025","Manhattan","40.23","24.59","29.96"
"10026","Manhattan","35.22","25.18","36.52"
"10027","Manhattan","44","33.87","12.13"
"10028","Manhattan","42.77","24.17","36.1"
"10029","Manhattan","21.68","17.62","13.38"
"10030","Manhattan","25.41","33.06","23.4"
"10031","Manhattan","49.32","29.73","51.55"
"10032","Manhattan","23.87","25.65","15.64"
"10033","Manhattan","24.37","21.91","30.13"
"10034","Manhattan","25.81","40.93","20.56"
"10035","Manhattan","27.29","31.68","21.18"
"10036","Manhattan","31.79","33.26","34.15"
"10037","Manhattan","28.32","42.88","13.89"
"10038","Manhattan","12.67","16.8","25.64"
"10039","Manhattan","21.35","29.09","20.55"
"10040","Manhattan","33.63","19.23","35.58"
"10044","Manhattan","2.41","5.46","5.19"
"10065","Manhattan","14.84","34.43","23.45"
"10069","Manhattan","4.78","2.58","1.52"
"10075","Manhattan","19.64","29.48","23.6"
"10128","Manhattan","29.93","21.5","19.35"
"10280","Manhattan","0","2.21","2.21"
"10281","Manhattan","0","0","0"
"10282","Manhattan","2.21","1.78","2.58"
"10301","Staten Island","28.34","16.19","23.34"
"10302","Staten Island","27.97","28.99","26.19"
"10303","Staten Island","16.13","15.71","27.25"
"10304","Staten Island","39.56","33.11","19.77"
"10305","Staten Island","12.23","8.38","13.65"
"10306","Staten Island","16.04","18.07","8.29"
"10307","Staten Island","15.06","17.59","19.09"
"10308","Staten Island","16.43","25.66","11.95"
"10309","Staten Island","9.51","24.56","14.68"
"10310","Staten Island","19.08","30.02","20.67"
"10312","Staten Island","17.27","16.1","16.66"
"10314","Staten Island","13.57","11.27","9.21"
"10451","Bronx","21.69","28.05","13.02"
"10452","Bronx","45.59","23.9","22.12"
"10453","Bronx","32.36","28.2","17.1"
"10454","Bronx","22.99","13.78","20.49"
"10455","Bronx","21.69","44.87","17.14"
"10456","Bronx","17.84","16.85","12.48"
"10457","Bronx","36.62","33.12","18.93"
"10458","Bronx","34.85","33.44","25.44"
"10459","Bronx","30.35","25.44","20.63"
"10460","Bronx","35.05","47.39","27.92"
"10461","Bronx","27.64","25.98","24.09"
"10462","Bronx","21.55","14.5","10.95"
"10463","Bronx","16.6","23.38","17.89"
"10464","Bronx","9.73","24.3","23.06"
"10465","Bronx","23.04","21.45","25.94"
"10466","Bronx","17.32","29.05","15.7"
"10467","Bronx","19.86","21.25","16.18"
"10468","Bronx","43.21","33.25","21.84"
"10469","Bronx","11.73","7.67","5.45"
"10470","Bronx","17.27","19.99","30.05"
"10471","Bronx","17.68","47.05","36.31"
"10472","Bronx","26.14","30.65","14.52"
"10473","Bronx","20.2","35.96","39.06"
"10474","Bronx","12.74","31.05","18.48"
"10475","Bronx","10.76","12.43","15.8"
"11004","Queens","15.66","12","11.49"
"11101","Queens","18.73","7.85","11.66"
"11102","Queens","37.75","37.56","42.49"
"11103","Queens","53.76","32.42","27.35"
"11104","Queens","30.27","35.74","45.62"
"11105","Queens","37.12","41.1","22.2"
"11106","Queens","37.44","36.28","19.27"
"11201","Brooklyn","27.97","10.94","29.74"
"11203","Brooklyn","7.98","22.57","15.42"
"11204","Brooklyn","30.34","17.35","11.31"
"11205","Brooklyn","32.86","23.29","33.39"
"11206","Brooklyn","17.88","26.58","17.78"
"11207","Brooklyn","32.44","17.74","14.16"
"11208","Brooklyn","30.63","27.27","3.68"
"11209","Brooklyn","13.05","25.61","21.95"
"11210","Brooklyn","23.86","22.28","21.21"
"11211","Brooklyn","15.09","10.94","13.73"
"11212","Brooklyn","9.51","25.15","22.5"
"11213","Brooklyn","22.17","12.95","17.24"
"11214","Brooklyn","18.92","14.08","17.66"
"11215","Brooklyn","14.16","11.97","14.65"
"11216","Brooklyn","60.74","40.07","30.02"
"11217","Brooklyn","40.61","29.42","35.71"
"11218","Brooklyn","46","22.63","18.38"
"11219","Brooklyn","47.83","35.47","22.23"
"11220","Brooklyn","12.4","11.97","16"
"11221","Brooklyn","37.42","25.01","14"
"11222","Brooklyn","14.97","32.42","15.88"
"11223","Brooklyn","18.14","17.53","15.96"
"11224","Brooklyn","29.26","37.15","21.06"
"11225","Brooklyn","39.85","29.3","27.5"
"11226","Brooklyn","21.76","19.12","9.27"
"11228","Brooklyn","34.96","45.95","30.39"
"11229","Brooklyn","15.06","8.18","14.9"
"11230","Brooklyn","13.73","18.2","7.15"
"11231","Brooklyn","46.47","25.06","14.47"
"11232","Brooklyn","39.17","41.24","23.88"
"11233","Brooklyn","27.33","23.09","27.41"
"11234","Brooklyn","15","10.77","4.84"
"11235","Brooklyn","4.16","12.37","6.97"
"11236","Brooklyn","5.35","18.56","12.79"
"11237","Brooklyn","52.36","37.99","21.43"
"11238","Brooklyn","35.12","14.87","21.33"
"11239","Brooklyn","4.93","14.75","19.6"
"11249","Brooklyn","43.16","32.73","27.95"
"11354","Queens","23.48","25.09","25.16"
"11355","Queens","34.88","13.65","23.75"
"11356","Queens","30.39","35","41.35"
"11357","Queens","11.63","8.03","21.4"
"11358","Queens","30.29","29.17","23.17"
"11360","Queens","8.84","23.63","25.78"
"11361","Queens","17.06","20.84","16.22"
"11362","Queens","21.97","19.45","5.02"
"11363","Queens","8.69","22.11","9.98"
"11364","Queens","23.2","30.07","21.69"
"11365","Queens","38.6","15.81","27.89"
"11366","Queens","24.88","21.33","26.83"
