"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"10001_201004","Manhattan","HousCond_[70,200]","H","H","H","L","VH","M","M","H","VH","L","M","L","M","OC","H",45000,1194
"10002_201004","Manhattan","HousCond_[200,350]","H","VH","H","M","VH","H","H","H","VH","H","MH","M","H","OC","VH",20973,3698
"10003_201004","Manhattan","HousCond_[200,350]","H","VH","H","M","VH","H","MH","H","VH","M","MH","MH","M","VH","H",64327,2402
"10004_201004","Manhattan","HousCond_[0,70]","L","L","H","L","H","VL","L","M","L","VL","L","VL","L","M","ML",95096,123
"10005_201004","Manhattan","HousCond_[0,70]","M","L","M","L","M","L","L","L","L","VL","L","VL","L","M","ML",80950,282
"10006_201004","Manhattan","HousCond_[0,70]","L","L","L","L","M","VL","L","M","L","VL","L","VL","L","H","ML",80212,139
"10007_201004","Manhattan","HousCond_[0,70]","M","L","H","L","VH","M","L","H","L","VL","L","VL","M","H","M",142202,233
"10009_201004","Manhattan","HousCond_[200,350]","H","VH","H","M","VH","H","M","M","VH","M","MH","MH","H","OC","VH",39054,3244
"10010_201004","Manhattan","HousCond_[70,200]","M","M","H","L","VH","M","M","M","H","L","L","L","MH","VH","H",70971,1316
"10011_201004","Manhattan","HousCond_[200,350]","H","H","H","M","VH","H","H","H","VH","M","M","MH","MH","OC","VH",69293,2603
"10012_201004","Manhattan","HousCond_[70,200]","H","M","H","L","VH","H","L","M","VH","L","L","M","M","VH","M",57900,941
"10013_201004","Manhattan","HousCond_[70,200]","H","M","H","L","VH","H","MH","M","VH","M","L","L","MH","OC","VH",37019,1070
"10014_201004","Manhattan","HousCond_[200,350]","H","H","H","L","VH","H","MH","M","VH","M","M","M","MH","VH","H",72571,1513
"10016_201004","Manhattan","HousCond_[200,350]","H","H","H","L","VH","H","H","H","VH","L","M","MH","MH","VH","H",67263,2177
"10017_201004","Manhattan","HousCond_[0,70]","MH","L","H","L","VH","L","M","H","L","VL","L","L","L","M","ML",55131,708
"10018_201004","Manhattan","HousCond_[70,200]","MH","L","H","L","VH","VL","M","M","M","VL","L","VL","L","M","ML",48097,376
"10019_201004","Manhattan","HousCond_[200,350]","H","H","H","H","VH","M","MH","H","H","M","M","M","MH","VH","H",60235,2192
"10020_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",NA,NA
"10021_201004","Manhattan","HousCond_[70,200]","H","M","H","L","VH","L","L","M","H","L","H","L","L","M","ML",81375,1597
"10022_201004","Manhattan","HousCond_[70,200]","MH","M","H","L","VH","L","M","H","H","VL","L","L","M","VH","H",85520,1238
"10023_201004","Manhattan","HousCond_[200,350]","H","H","H","M","VH","L","M","H","H","L","MH","MH","MH","VH","H",78822,2795
"10024_201004","Manhattan","HousCond_[200,350]","MH","H","H","L","VH","M","L","M","VH","M","MH","MH","L","M","ML",71417,2622
"10025_201004","Manhattan","HousCond_[350,1789]","H","VH","H","L","VH","M","M","H","VH","M","MH","MH","M","H","M",46564,4380
"10026_201004","Manhattan","HousCond_[200,350]","M","VH","M","L","H","M","L","M","H","M","L","M","H","OC","H",28909,2074
"10027_201004","Manhattan","HousCond_[350,1789]","MH","VH","H","L","VH","H","MH","M","VH","M","MH","MH","H","OC","VH",25621,2802
"10028_201004","Manhattan","HousCond_[200,350]","H","M","H","L","VH","H","L","M","H","VL","M","M","MH","VH","H",71147,1806
"10029_201004","Manhattan","HousCond_[350,1789]","H","VH","H","M","VH","M","H","M","H","M","M","MH","H","OC","VH",24107,3621
"10030_201004","Manhattan","HousCond_[200,350]","L","H","L","L","M","L","L","VL","H","VL","L","MH","M","M","M",24236,1614
"10031_201004","Manhattan","HousCond_[350,1789]","MH","VH","H","L","VH","M","MH","L","VH","M","L","MH","MH","OC","H",22204,3362
"10032_201004","Manhattan","HousCond_[350,1789]","MH","VH","M","L","VH","M","L","L","VH","H","L","MH","MH","OC","VH",23847,3424
"10033_201004","Manhattan","HousCond_[350,1789]","L","VH","M","L","VH","M","L","L","VH","M","M","MH","L","M","ML",24973,3366
"10034_201004","Manhattan","HousCond_[350,1789]","MH","VH","L","L","VH","H","M","M","H","M","L","MH","L","H","M",24802,2537
"10035_201004","Manhattan","HousCond_[200,350]","M","H","H","L","VH","M","M","M","H","L","L","MH","H","OC","VH",23444,1682
"10036_201004","Manhattan","HousCond_[200,350]","MH","M","H","M","VH","M","M","H","H","L","L","M","H","OC","VH",45804,1856
"10037_201004","Manhattan","HousCond_[70,200]","L","H","M","L","M","L","L","L","L","VL","L","M","MH","VH","H",33107,1077
"10038_201004","Manhattan","HousCond_[0,70]","MH","L","H","L","VH","L","L","H","M","VL","L","VL","M","H","M",41659,896
"10039_201004","Manhattan","HousCond_[200,350]","L","H","L","L","M","L","L","VL","L","VL","L","M","H","VH","H",24359,1480
"10040_201004","Manhattan","HousCond_[350,1789]","L","VH","L","L","VH","M","M","M","H","M","L","M","M","VH","H",24878,2629
"10044_201004","Manhattan","HousCond_[0,70]","L","L","L","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",47861,385
"10065_201004","Manhattan","HousCond_[70,200]","MH","L","H","L","VH","L","M","M","H","L","M","MH","M","VH","H",76532,1026
"10069_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","L","L","VL","L","VL","M","M","ML",139884,184
"10075_201004","Manhattan","HousCond_[0,70]","M","L","H","L","H","L","L","L","M","VL","L","L","M","H","H",74570,1018
"10123_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",NA,NA
"10128_201004","Manhattan","HousCond_[200,350]","M","H","H","L","VH","M","M","H","H","L","MH","M","M","VH","M",66337,2479
"10280_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","L","L","VL","L","VL","L","M","ML",99712,346
"10281_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","VL","L","VL","L","VL","L","M","ML",NA,NA
"10282_201004","Manhattan","HousCond_[0,70]","L","L","VL","L","L","VL","L","L","L","VL","L","VL","L","M","ML",163673,130
"10301_201004","Staten Island","HousCond_[200,350]","H","H","L","M","VH","M","H","L","VH","VL","H","MH","MH","VH","M",38792,1573
"10302_201004","Staten Island","HousCond_[70,200]","M","L","L","M","VH","L","H","L","H","VL","H","MH","L","M","ML",33832,746
"10303_201004","Staten Island","HousCond_[70,200]","L","H","L","M","VH","VL","M","VL","H","VL","M","MH","L","M","ML",31457,1191
"10304_201004","Staten Island","HousCond_[70,200]","MH","M","L","M","VH","VL","H","VL","VH","L","H","MH","H","VH","M",33140,1825
"10305_201004","Staten Island","HousCond_[70,200]","H","M","L","H","VH","M","H","VL","VH","VL","H","M","H","OC","H",41153,2044
"10306_201004","Staten Island","HousCond_[70,200]","H","M","L","M","VH","VL","H","L","VH","VL","H","M","H","VH","M",46786,2913
"10307_201004","Staten Island","HousCond_[0,70]","L","L","VL","L","H","VL","M","VL","M","VL","MH","VL","M","H","ML",53953,679
"10308_201004","Staten Island","HousCond_[0,70]","MH","L","VL","M","VH","VL","MH","VL","VH","VL","H","M","M","M","ML",54194,1493
"10309_201004","Staten Island","HousCond_[70,200]","MH","L","VL","M","VH","VL","H","L","H","L","H","VL","MH","H","M",54143,1677
"10310_201004","Staten Island","HousCond_[70,200]","M","M","L","L","VH","L","MH","VL","H","VL","MH","MH","MH","VH","H",38351,1018
"10312_201004","Staten Island","HousCond_[70,200]","H","M","VL","H","VH","VL","H","L","VH","VL","H","L","MH","VH","M",54855,3199
"10314_201004","Staten Island","HousCond_[70,200]","H","M","M","VH","VH","L","H","L","VH","L","H","MH","H","OC","H",46122,4186
"10451_201004","Bronx","HousCond_[350,1789]","M","H","H","M","VH","L","L","M","VH","M","L","MH","H","OC","H",22846,2421
"10452_201004","Bronx","HousCond_[350,1789]","M","VH","L","M","VH","H","M","VL","VH","VL","L","MH","MH","OC","H",21436,3916
"10453_201004","Bronx","HousCond_[350,1789]","M","VH","L","M","VH","M","M","VL","VH","M","M","MH","H","OC","VH",21086,4080
"10454_201004","Bronx","HousCond_[200,350]","M","H","VL","L","VH","M","M","L","VH","L","L","MH","H","OC","VH",19613,1679
"10455_201004","Bronx","HousCond_[350,1789]","M","H","M","L","VH","L","M","VL","VH","VL","L","MH","H","OC","VH",20305,2057
"10456_201004","Bronx","HousCond_[350,1789]","MH","VH","L","M","VH","L","MH","VL","VH","L","M","MH","H","OC","VH",19749,4333
"10457_201004","Bronx","HousCond_[350,1789]","H","VH","L","M","VH","L","M","VL","VH","M","L","MH","H","OC","VH",20364,3322
"10458_201004","Bronx","HousCond_[350,1789]","M","VH","H","M","VH","L","M","VL","VH","M","MH","MH","H","OC","VH",21770,3385
"10459_201004","Bronx","HousCond_[350,1789]","M","H","L","M","VH","VL","M","L","VH","VL","L","MH","MH","OC","VH",21222,2430
"10460_201004","Bronx","HousCond_[350,1789]","L","VH","L","M","VH","L","M","VL","VH","VL","L","MH","H","OC","VH",21625,2704
"10461_201004","Bronx","HousCond_[200,350]","H","H","L","H","VH","L","H","L","VH","L","H","MH","H","OC","VH",35577,2316
"10462_201004","Bronx","HousCond_[350,1789]","H","VH","M","VH","VH","M","M","M","VH","L","H","MH","MH","VH","H",31582,3910
"10463_201004","Bronx","HousCond_[350,1789]","H","VH","L","M","VH","M","H","L","VH","L","H","MH","M","VH","H",35695,3258
"10464_201004","Bronx","HousCond_[0,70]","L","L","VL","L","M","VL","L","VL","L","VL","L","VL","L","M","ML",50786,194
