"ZIP","Borough","HousCond","IAO","NoiseResid","ConsumProt","Traffic","UrbInf","NoiseBiz","WaterSyst","NoiseConst","Sani","NoiseTraf","EnvProt","SocServ","Violation","Misdemeanor","Felony","medianInc","jlBenef"
"10001","Manhattan","126","45","82","124","23","176","26","26","22","71","8","19","5","12","240","90","45000","1194"
"10002","Manhattan","300","43","125","52","44","352","84","45","31","300","26","29","9","70","407","166","20973","3698"
"10003","Manhattan","220","52","146","121","35","338","68","37","46","109","21","34","17","11","89","62","64327","2402"
"10004","Manhattan","13","6","2","26","3","65","2","6","7","7","2","1","0","6","24","12","95096","123"
"10005","Manhattan","10","22","6","19","3","42","4","0","4","5","3","2","0","3","15","11","80950","282"
"10006","Manhattan","14","10","5","8","2","35","0","3","11","3","1","2","1","1","64","7","80212","139"
"10007","Manhattan","22","17","19","32","9","112","10","16","27","15","2","9","2","16","50","23","142202","233"
"10009","Manhattan","249","41","186","40","25","212","87","27","15","73","16","35","21","59","251","131","39054","3244"
"10010","Manhattan","78","17","48","48","10","215","10","24","8","35","10","10","3","22","136","74","70971","1316"
"10011","Manhattan","277","47","92","74","26","284","74","46","25","81","12","24","20","32","231","126","69293","2603"
"10012","Manhattan","189","77","54","45","17","109","63","10","17","110","7","7","10","9","106","45","57900","941"
"10013","Manhattan","178","51","31","99","23","328","36","36","20","177","12","11","6","31","331","150","37019","1070"
"10014","Manhattan","305","48","69","63","18","288","67","33","15","85","16","23","11","25","166","83","72571","1513"
"10016","Manhattan","209","78","81","95","19","273","37","45","80","68","10","23","13","27","176","84","67263","2177"
"10017","Manhattan","59","28","26","75","10","232","6","20","21","12","4","11","5","3","11","10","55131","708"
"10018","Manhattan","73","25","6","73","13","181","3","25","15","20","4","3","1","0","6","3","48097","376"
"10019","Manhattan","224","63","68","122","60","347","19","38","47","52","18","19","10","28","114","46","60235","2192"
"10020","Manhattan","0","1","1","3","2","13","0","2","1","0","0","0","0","0","0","0",NA,NA
"10021","Manhattan","96","54","51","53","17","162","5","14","14","38","5","50","4","0","1","2","81375","1597"
"10022","Manhattan","131","27","61","92","19","340","7","28","29","35","3","7","6","17","90","64","85520","1238"
"10023","Manhattan","219","82","102","78","35","270","9","22","28","52","7","37","19","30","118","63","78822","2795"
"10024","Manhattan","284","29","112","54","23","180","18","18","14","65","12","40","19","0","8","2","71417","2622"
"10025","Manhattan","506","57","220","59","22","199","23","25","29","71","21","28","29","15","60","29","46564","4380"
"10026","Manhattan","349","21","131","17","22","79","13","15","7","43","17","13","11","43","247","88","28909","2074"
"10027","Manhattan","435","33","185","33","17","183","34","33","20","65","15","30","14","63","316","123","25621","2802"
"10028","Manhattan","249","34","54","47","12","129","32","10","12","43","3","20","9","24","91","51","71147","1806"
"10029","Manhattan","370","34","213","30","30","155","23","50","20","50","14","20","13","72","371","109","24107","3621"
"10030","Manhattan","312","9","74","10","10","45","8","9","1","37","3","7","12","10","29","20","24236","1614"
"10031","Manhattan","967","31","229","24","19","124","27","31","3","112","20","15","29","22","189","71","22204","3362"
"10032","Manhattan","1008","24","217","14","10","171","13","17","3","106","31","11","22","29","198","103","23847","3424"
"10033","Manhattan","680","13","146","14","12","159","15","19","5","82","19","17","18","2","4","7","24973","3366"
"10034","Manhattan","586","25","142","9","19","114","30","21","8","37","18","14","17","5","37","18","24802","2537"
"10035","Manhattan","296","23","102","28","14","133","10","21","6","50","5","13","12","65","347","111","23444","1682"
"10036","Manhattan","216","28","43","107","28","311","15","29","35","45","5","14","9","66","469","270","45804","1856"
"10037","Manhattan","164","5","64","16","8","46","4","10","3","9","2","7","8","31","163","70","33107","1077"
"10038","Manhattan","26","27","18","25","13","109","6","7","24","21","2","6","2","14","72","26","41659","896"
"10039","Manhattan","229","5","107","11","7","37","9","7","0","9","3","10","9","45","162","74","24359","1480"
"10040","Manhattan","1097","12","134","8","18","109","20","29","14","37","21","13","11","18","167","74","24878","2629"
"10041","Manhattan","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0",NA,NA
"10044","Manhattan","8","0","1","6","0","32","1","0","0","0","0","0","1","0","0","1","47861","385"
"10045","Manhattan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",NA,NA
"10048","Manhattan","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0",NA,NA
"10065","Manhattan","102","27","11","42","17","123","5","21","19","42","8","17","12","20","111","85","76532","1026"
"10069","Manhattan","2","6","1","4","0","13","0","0","3","1","1","2","0","9","14","3","139884","184"
