"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt"
"00083","Manhattan","0","0","0","0","0","0","0","13","0","0","0","0","0"
"10001","Manhattan","15","53","37","54","16","85","22","11","22","82","10","40","11"
"10002","Manhattan","18","42","165","68","124","134","42","34","43","58","11","42","20"
"10003","Manhattan","18","59","130","93","92","188","62","59","74","68","21","36","33"
"10004","Manhattan","7","16","5","14","0","49","13","5","10","25","1","4","1"
"10005","Manhattan","2","9","7","23","6","38","6","13","4","8","3","3","2"
"10006","Manhattan","6","4","6","8","0","20","2","5","5","10","0","10","0"
"10007","Manhattan","20","19","19","42","3","68","6","5","7","30","1","9","1"
"10009","Manhattan","15","34","162","63","102","68","44","33","39","31","23","19","43"
"10010","Manhattan","79","13","48","78","11","84","23","13","45","51","7","36","10"
"10011","Manhattan","17","74","81","97","51","230","45","23","45","55","12","41","49"
"10012","Manhattan","18","42","67","58","50","79","20","35","51","38","11","24","14"
"10013","Manhattan","50","51","43","92","37","142","55","36","33","53","4","22","17"
"10014","Manhattan","15","40","66","53","39","166","25","27","30","30","13","27","18"
"10016","Manhattan","18","33","107","238","54","177","44","37","33","93","16","41","37"
"10017","Manhattan","15","17","7","76","16","80","42","10","24","46","5","16","4"
"10018","Manhattan","11","18","14","26","13","68","22","8","19","48","5","16","3"
"10019","Manhattan","15","27","56","106","45","167","39","50","28","111","12","52","29"
"10020","Manhattan","5","0","0","1","1","11","1","0","1","2","0","0","0"
"10021","Manhattan","10","15","43","63","27","91","36","20","10","45","12","50","25"
"10022","Manhattan","13","23","21","75","27","116","40","25","27","86","12","39","10"
"10023","Manhattan","44","25","79","89","11","145","48","26","36","44","18","57","27"
"10024","Manhattan","25","33","127","28","31","74","36","30","17","34","12","53","24"
"10025","Manhattan","38","28","153","63","53","66","27","32","23","47","23","44","22"
"10026","Manhattan","13","19","180","23","16","34","8","60","12","14","8","13","15"
"10027","Manhattan","22","31","231","10","56","52","55","60","19","36","10","11","25"
"10028","Manhattan","12","24","40","23","28","97","24","14","19","24","7","33","12"
"10029","Manhattan","13","42","191","22","38","76","36","43","21","25","15","36","21"
"10030","Manhattan","9","16","152","8","7","12","14","28","14","10","6","9","16"
