"ZIP","Borough","Violation","Misdemeanor","Felony"
"10001","Manhattan","11","191","68"
"10002","Manhattan","50","294","144"
"10003","Manhattan","6","73","34"
"10004","Manhattan","3","32","14"
"10005","Manhattan","3","8","8"
"10006","Manhattan","0","43","8"
"10007","Manhattan","9","35","22"
"10009","Manhattan","54","254","116"
"10010","Manhattan","22","133","85"
"10011","Manhattan","34","179","97"
"10012","Manhattan","9","74","50"
"10013","Manhattan","30","272","111"
"10014","Manhattan","16","148","90"
"10016","Manhattan","20","123","61"
"10017","Manhattan","2","8","9"
"10018","Manhattan","1","3","4"
"10019","Manhattan","31","107","73"
"10021","Manhattan","1","2","0"
"10022","Manhattan","18","98","77"
"10023","Manhattan","28","93","53"
"10024","Manhattan","3","2","5"
"10025","Manhattan","25","39","25"
"10026","Manhattan","39","185","64"
"10027","Manhattan","55","317","93"
"10028","Manhattan","7","62","28"
"10029","Manhattan","64","316","118"
"10030","Manhattan","1","25","11"
"10031","Manhattan","19","124","41"
"10032","Manhattan","30","150","73"
"10033","Manhattan","2","9","8"
"10034","Manhattan","5","39","22"
"10035","Manhattan","39","287","107"
"10036","Manhattan","58","398","255"
"10037","Manhattan","39","169","65"
"10038","Manhattan","17","60","40"
"10039","Manhattan","26","134","50"
"10040","Manhattan","35","107","60"
"10044","Manhattan","1","1","1"
"10045","Manhattan","0","1","1"
"10065","Manhattan","19","119","82"
"10069","Manhattan","5","14","4"
"10075","Manhattan","12","72","55"
"10103","Manhattan","0","5","1"
"10107","Manhattan","0","8","1"
"10112","Manhattan","0","0","1"
"10118","Manhattan","2","3","1"
"10119","Manhattan","0","23","7"
"10121","Manhattan","1","4","6"
"10128","Manhattan","10","57","40"
"10162","Manhattan","0","1","0"
"10167","Manhattan","0","0","2"
"10170","Manhattan","1","0","1"
"10172","Manhattan","1","2","1"
"10178","Manhattan","0","1","0"
"10203","Manhattan","1","1","0"
"10259","Manhattan","0","0","1"
"10278","Manhattan","2","3","2"
"10280","Manhattan","1","1","4"
"10281","Manhattan","2","0","1"
"10282","Manhattan","1","3","3"
"10301","Staten Island","28","93","31"
"10302","Staten Island","4","25","13"
"10303","Staten Island","11","31","11"
"10304","Staten Island","22","73","24"
"10305","Staten Island","49","158","57"
"10306","Staten Island","40","111","54"
"10307","Staten Island","15","20","9"
"10308","Staten Island","7","20","12"
"10309","Staten Island","23","91","36"
"10310","Staten Island","36","141","43"
"10312","Staten Island","18","77","34"
"10314","Staten Island","70","286","98"
"10451","Bronx","49","242","107"
"10452","Bronx","35","189","81"
"10453","Bronx","38","250","82"
"10454","Bronx","69","300","118"
"10455","Bronx","48","257","120"
"10456","Bronx","72","327","103"
"10457","Bronx","50","308","130"
"10458","Bronx","77","446","194"
"10459","Bronx","47","244","101"
"10460","Bronx","89","519","204"
"10461","Bronx","35","242","98"
"10462","Bronx","20","130","31"
"10463","Bronx","12","103","42"
"10464","Bronx","3","30","8"
"10465","Bronx","32","108","45"
"10466","Bronx","25","105","61"
"10467","Bronx","43","234","97"
"10468","Bronx","20","164","60"
"10469","Bronx","41","191","91"
"10470","Bronx","3","12","9"
"10471","Bronx","6","23","5"
"10472","Bronx","45","208","94"
"10473","Bronx","56","297","112"
"10474","Bronx","44","197","70"
"10475","Bronx","9","38","15"
"11101","Queens","48","199","125"
"11102","Queens","11","44","33"
"11103","Queens","7","17","10"
"11104","Queens","21","87","34"
"11105","Queens","12","33","22"
"11106","Queens","20","62","28"
"11109","Queens","0","3","2"
"11201","Brooklyn","44","205","103"
"11203","Brooklyn","71","285","164"
"11204","Brooklyn","28","111","61"
"11205","Brooklyn","22","118","74"
"11206","Brooklyn","12","48","22"
"11207","Brooklyn","142","543","329"
"11208","Brooklyn","46","195","136"
"11209","Brooklyn","24","128","58"
"11210","Brooklyn","13","75","24"
"11211","Brooklyn","48","262","171"
"11212","Brooklyn","19","46","25"
"11213","Brooklyn","6","16","7"
"11214","Brooklyn","54","170","81"
"11215","Brooklyn","35","131","80"
"11216","Brooklyn","89","400","208"
"11217","Brooklyn","30","173","79"
"11218","Brooklyn","5","21","12"
"11219","Brooklyn","5","29","14"
"11220","Brooklyn","33","220","101"
"11221","Brooklyn","94","348","221"
"11222","Brooklyn","6","52","39"
"11223","Brooklyn","31","155","82"
"11224","Brooklyn","38","213","109"
"11225","Brooklyn","34","78","57"
"11226","Brooklyn","68","256","167"
"11228","Brooklyn","15","87","70"
"11229","Brooklyn","37","150","104"
"11230","Brooklyn","20","98","62"
"11231","Brooklyn","20","137","76"
"11232","Brooklyn","28","103","69"
"11233","Brooklyn","193","705","362"
"11234","Brooklyn","83","282","225"
"11235","Brooklyn","26","112","82"
"11236","Brooklyn","58","172","101"
"11237","Brooklyn","1","1","1"
"11238","Brooklyn","29","139","96"
"11239","Brooklyn","3","56","16"
"11249","Brooklyn","22","159","119"
"11354","Queens","19","54","39"
"11355","Queens","33","193","112"
"11356","Queens","12","42","25"
"11357","Queens","13","18","16"
"11358","Queens","2","24","15"
"11360","Queens","3","11","10"
"11361","Queens","8","48","44"
"11362","Queens","2","14","10"
"11363","Queens","0","2","1"
"11364","Queens","5","9","20"
"11365","Queens","13","53","28"
"11366","Queens","7","26","10"
"11367","Queens","5","29","13"
"11368","Queens","35","189","111"
"11369","Queens","7","55","24"
"11370","Queens","4","59","54"
"11371","Queens","2","22","10"
"11372","Queens","24","154","70"
"11373","Queens","31","270","116"
"11374","Queens","14","47","18"
"11375","Queens","18","72","39"
"11377","Queens","46","166","84"
"11378","Queens","14","46","18"
"11379","Queens","18","116","37"
"11385","Queens","43","197","120"
"11411","Queens","10","25","18"
"11412","Queens","10","36","32"
"11413","Queens","5","21","16"
"11414","Queens","21","80","32"
"11415","Queens","6","16","12"
"11416","Queens","29","119","64"
"11417","Queens","6","13","11"
"11418","Queens","18","74","56"
"11419","Queens","38","134","73"
"11420","Queens","18","71","49"
"11421","Queens","16","54","30"
"11422","Queens","20","56","45"
"11423","Queens","19","32","30"
"11426","Queens","11","18","26"
"11427","Queens","4","23","12"
"11428","Queens","10","20","25"
"11429","Queens","21","55","38"
"11430","Queens","4","18","16"
"11432","Queens","17","80","27"
"11433","Queens","55","222","149"
"11434","Queens","54","207","170"
"11435","Queens","26","116","70"
"11436","Queens","3","21","15"
"11451","Queens","0","1","0"
"11691","Queens","52","136","92"
"11692","Queens","13","46","35"
"11693","Queens","13","33","17"
"11694","Queens","21","33","17"
"11697","Queens","0","7","6"
"99999","99999","64","985","481"
