"ZIP","Borough","HousCond","Sani","NoiseResid","NoiseConst","NoiseBiz","UrbInf","Traffic","NoiseTraf","WaterSyst","ConsumProt","SocServ","IAO","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
10001,"Manhattan",15,53,37,54,16,85,22,11,22,82,10,40,11,11,191,68,58514,600
10002,"Manhattan",18,42,165,68,124,134,42,34,43,58,11,42,20,50,294,144,23217,1600
10003,"Manhattan",18,59,130,93,92,188,62,59,74,68,21,36,33,6,73,34,81530,1040
10004,"Manhattan",7,16,5,14,0,49,13,5,10,25,1,4,1,3,32,14,128571,70
10005,"Manhattan",2,9,7,23,6,38,6,13,4,8,3,3,2,3,8,8,97669,150
10006,"Manhattan",6,4,6,8,0,20,2,5,5,10,0,10,0,0,43,8,93056,60
10007,"Manhattan",20,19,19,42,3,68,6,5,7,30,1,9,1,9,35,22,185593,110
10009,"Manhattan",15,34,162,63,102,68,44,33,39,31,23,19,43,54,254,116,46931,1510
10010,"Manhattan",79,13,48,78,11,84,23,13,45,51,7,36,10,22,133,85,85334,590
10011,"Manhattan",17,74,81,97,51,230,45,23,45,55,12,41,49,34,179,97,90505,1180
10012,"Manhattan",18,42,67,58,50,79,20,35,51,38,11,24,14,9,74,50,75996,400
10013,"Manhattan",50,51,43,92,37,142,55,36,33,53,4,22,17,30,272,111,60115,410
10014,"Manhattan",15,40,66,53,39,166,25,27,30,30,13,27,18,16,148,90,93750,670
10016,"Manhattan",18,33,107,238,54,177,44,37,33,93,16,41,37,20,123,61,79156,960
10017,"Manhattan",15,17,7,76,16,80,42,10,24,46,5,16,4,2,8,9,95992,340
10018,"Manhattan",11,18,14,26,13,68,22,8,19,48,5,16,3,1,3,4,69231,220
10019,"Manhattan",15,27,56,106,45,167,39,50,28,111,12,52,29,31,107,73,76800,1090
10020,"Manhattan",5,0,0,1,1,11,1,0,1,2,0,0,0,0,0,0,NA,NA
10021,"Manhattan",10,15,43,63,27,91,36,20,10,45,12,50,25,1,2,0,96913,690
10022,"Manhattan",13,23,21,75,27,116,40,25,27,86,12,39,10,18,98,77,110248,530
10023,"Manhattan",44,25,79,89,11,145,48,26,36,44,18,57,27,28,93,53,98024,1360
10024,"Manhattan",25,33,127,28,31,74,36,30,17,34,12,53,24,3,2,5,90742,1110
10025,"Manhattan",38,28,153,63,53,66,27,32,23,47,23,44,22,25,39,25,55860,2140
10026,"Manhattan",13,19,180,23,16,34,8,60,12,14,8,13,15,39,185,64,33735,1110
10027,"Manhattan",22,31,231,10,56,52,55,60,19,36,10,11,25,55,317,93,29808,1520
10028,"Manhattan",12,24,40,23,28,97,24,14,19,24,7,33,12,7,62,28,87500,780
10029,"Manhattan",13,42,191,22,38,76,36,43,21,25,15,36,21,64,316,118,25193,1950
10030,"Manhattan",9,16,152,8,7,12,14,28,14,10,6,9,16,1,25,11,24222,950
10031,"Manhattan",19,22,350,8,29,22,16,85,19,19,22,25,23,19,124,41,24113,1780
10032,"Manhattan",12,32,265,18,23,47,24,118,19,16,15,19,15,30,150,73,23243,1880
10033,"Manhattan",14,30,161,19,95,32,22,57,9,24,14,32,20,2,9,8,24333,1730
10034,"Manhattan",9,18,145,6,116,31,35,44,9,14,7,14,11,5,39,22,25182,1330
10035,"Manhattan",2,23,108,2,5,34,30,22,18,25,8,15,20,39,287,107,24819,860
10036,"Manhattan",24,32,42,85,80,106,43,22,36,84,4,25,17,58,398,255,63189,990
10037,"Manhattan",6,5,60,4,2,19,5,19,22,6,9,3,6,39,169,65,33099,700
10038,"Manhattan",41,19,30,67,4,70,23,9,7,21,2,30,14,17,60,40,57485,430
10039,"Manhattan",2,6,204,1,2,8,11,19,9,4,5,4,6,26,134,50,23951,890
10040,"Manhattan",36,18,216,5,93,15,21,97,3,8,11,6,17,35,107,60,25479,1440
10041,"Manhattan",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
10044,"Manhattan",0,1,1,0,0,5,0,0,2,2,5,0,2,1,1,1,55952,150
10045,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA
10048,"Manhattan",0,0,0,0,0,4,1,0,0,4,0,0,0,0,0,0,NA,NA
10065,"Manhattan",10,16,18,52,44,52,17,11,27,39,17,19,25,19,119,82,92955,450
10069,"Manhattan",0,0,7,1,0,1,9,0,0,3,1,6,2,5,14,4,174038,90
10075,"Manhattan",6,11,25,21,12,49,13,10,10,22,1,19,11,12,72,55,90981,410
10103,"Manhattan",0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,1,NA,NA
10107,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,NA,NA
10111,"Manhattan",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA
10112,"Manhattan",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,NA,NA
10118,"Manhattan",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,NA,NA
