"ZIP
code [1]"	Size of adjusted gross income	Number of returns
00000	Total	9,397,410
00000	$1 under $25,000	3617400
00000	$25,000 under $50,000	2070870
00000	$50,000 under $75,000	1248170
00000	$75,000 under $100,000	805170
00000	$100,000 under $200,000	1171760
00000	$200,000 or more	484040
		
10001		14,080
10001	$1 under $25,000	3880
10001	$25,000 under $50,000	2530
10001	$50,000 under $75,000	1850
10001	$75,000 under $100,000	1300
10001	$100,000 under $200,000	2350
10001	$200,000 or more	2170
		
10002		43,370
10002	$1 under $25,000	23350
10002	$25,000 under $50,000	8270
10002	$50,000 under $75,000	4500
10002	$75,000 under $100,000	2510
10002	$100,000 under $200,000	3200
10002	$200,000 or more	1540
		
10003		29,810
10003	$1 under $25,000	5380
10003	$25,000 under $50,000	4240
10003	$50,000 under $75,000	4410
10003	$75,000 under $100,000	3350
10003	$100,000 under $200,000	6280
10003	$200,000 or more	6150
		
10004		2,540
10004	$1 under $25,000	330
10004	$25,000 under $50,000	300
10004	$50,000 under $75,000	270
10004	$75,000 under $100,000	210
10004	$100,000 under $200,000	560
10004	$200,000 or more	870
		
10005		5,890
10005	$1 under $25,000	720
10005	$25,000 under $50,000	810
10005	$50,000 under $75,000	880
10005	$75,000 under $100,000	590
10005	$100,000 under $200,000	1270
10005	$200,000 or more	1620
		
10006		2,450
10006	$1 under $25,000	290
10006	$25,000 under $50,000	380
10006	$50,000 under $75,000	360
10006	$75,000 under $100,000	270
10006	$100,000 under $200,000	600
10006	$200,000 or more	550
		
10007		3,350
10007	$1 under $25,000	460
10007	$25,000 under $50,000	280
10007	$50,000 under $75,000	230
10007	$75,000 under $100,000	200
10007	$100,000 under $200,000	590
10007	$200,000 or more	1590
		
10009		33,310
10009	$1 under $25,000	10330
10009	$25,000 under $50,000	7210
10009	$50,000 under $75,000	5690
10009	$75,000 under $100,000	3540
10009	$100,000 under $200,000	4630
10009	$200,000 or more	1910
		
10010		17,550
10010	$1 under $25,000	2820
10010	$25,000 under $50,000	2490
10010	$50,000 under $75,000	2630
10010	$75,000 under $100,000	2020
10010	$100,000 under $200,000	3810
10010	$200,000 or more	3780
		
10011		30,270
10011	$1 under $25,000	5360
10011	$25,000 under $50,000	3920
10011	$50,000 under $75,000	3920
10011	$75,000 under $100,000	3120
10011	$100,000 under $200,000	6810
10011	$200,000 or more	7140
		
10012		12,810
10012	$1 under $25,000	2580
10012	$25,000 under $50,000	1970
10012	$50,000 under $75,000	1800
10012	$75,000 under $100,000	1380
10012	$100,000 under $200,000	2620
10012	$200,000 or more	2460
		
10013		15,030
10013	$1 under $25,000	4750
10013	$25,000 under $50,000	2150
10013	$50,000 under $75,000	1520
10013	$75,000 under $100,000	1030
10013	$100,000 under $200,000	1960
10013	$200,000 or more	3620
		
10014		19,040
10014	$1 under $25,000	3080
10014	$25,000 under $50,000	2360
10014	$50,000 under $75,000	2520
10014	$75,000 under $100,000	2080
10014	$100,000 under $200,000	4420
10014	$200,000 or more	4580
		
10016		32,020
10016	$1 under $25,000	5250
10016	$25,000 under $50,000	4900
10016	$50,000 under $75,000	5220
10016	$75,000 under $100,000	3850
10016	$100,000 under $200,000	6820
