STATE	ZIP	N1	N2	A00100	N02300
AL	0	2020720	4144380	108961633	71220
AL	35004	4980	10090	269216	170
AL	35005	3250	6460	126701	100
AL	35006	1250	2660	59947	50
AL	35007	12020	25520	678502	330
AL	35010	8120	17160	362819	450
AL	35014	1650	3280	72523	90
AL	35016	6990	14370	337434	260
AL	35019	910	2020	37657	40
AL	35020	9720	20210	257454	330
AL	35022	9540	18870	533916	280
AL	35023	10130	20280	480086	330
AL	35031	2860	6650	114171	120
AL	35033	1340	2930	72519	50
AL	35034	1430	2990	54657	50
AL	35035	560	1190	35806	0
AL	35040	7200	15270	372128	220
AL	35042	2220	4860	97569	80
AL	35043	4620	10510	362804	110
AL	35044	3190	6370	127251	110
AL	35045	5600	12150	246686	170
AL	35046	2430	5090	123573	60
AL	35049	1510	3350	71687	60
AL	35051	3390	7160	193097	90
AL	35053	960	1970	57190	40
AL	35054	1750	3500	112889	50
AL	35055	7870	16520	386154	240
AL	35057	5160	11040	254920	200
AL	35058	4200	9260	203585	130
AL	35061	620	1170	21920	0
AL	35062	3230	7110	171813	100
AL	35063	1220	2720	49508	50
AL	35064	4700	8900	156751	170
AL	35068	3650	7200	174836	90
AL	35071	7280	14530	425909	200
AL	35072	1800	3860	67299	130
AL	35073	980	1990	38259	40
AL	35077	5120	10680	212019	200
AL	35078	900	1860	42766	30
AL	35079	3430	7700	172402	130
AL	35080	7420	16550	513094	200
AL	35083	1150	2500	50435	50
AL	35085	3390	7530	144402	120
AL	35087	790	1760	30196	30
AL	35089	750	1480	23381	60
AL	35091	1140	2640	73634	0
AL	35094	6260	12720	333751	160
AL	35096	3360	6940	159448	120
AL	35097	760	1650	35521	30
AL	35098	570	1290	23524	30
AL	35111	6860	14430	430906	200
AL	35114	2930	6440	184297	70
AL	35115	5190	10630	223783	140
AL	35116	1980	4140	114326	70
AL	35117	2660	5550	161625	60
AL	35118	1330	2820	62013	40
AL	35120	5900	13060	304298	180
AL	35121	5890	13200	297229	220
AL	35124	11490	23480	836809	260
AL	35125	4370	9110	189041	160
AL	35126	9510	19320	499756	300
AL	35127	4320	8370	216469	130
AL	35128	4040	8230	228028	110
AL	35130	1240	2550	53196	50
AL	35131	1490	3250	60682	60
AL	35133	1560	3280	70950	50
AL	35135	820	1600	42112	30
AL	35136	670	1280	29176	30
AL	35143	1200	2340	61282	40
AL	35146	4300	9360	259322	150
AL	35147	2290	5010	151697	70
AL	35148	1130	2450	48169	40
AL	35150	7220	14680	292555	240
AL	35151	2840	5880	132171	90
AL	35160	9790	19740	376267	460
AL	35171	1350	3090	67413	60
AL	35172	1120	2480	46316	40
AL	35173	12170	26620	986255	290
AL	35175	2110	4380	115710	70
AL	35176	360	710	14380	0
AL	35178	1430	3010	64462	60
AL	35179	3720	7870	176486	150
AL	35180	5600	12050	300966	180
AL	35183	290	540	13274	0
AL	35184	2120	4640	92270	90
AL	35186	1970	4160	125448	50
AL	35188	1120	2520	60392	30
AL	35203	1330	2150	124668	40
AL	35204	3870	7650	92657	150
AL	35205	8190	12590	414697	210
AL	35206	6880	13400	201543	250
AL	35207	3500	7220	86963	120
AL	35208	6320	12260	170852	210
AL	35209	12570	24290	1037718	230
AL	35210	6620	12310	360601	150
AL	35211	11470	21480	332152	400
AL	35212	5020	10040	160631	150
AL	35213	6770	12960	1357091	70
AL	35214	8470	15850	312232	300
AL	35215	20480	41880	677965	670
AL	35216	16900	34080	1436238	350
AL	35217	5270	10990	165342	190
AL	35218	2730	5520	65352	100
AL	35221	1980	3760	49717	70
AL	35222	3850	6630	292634	90
AL	35223	5430	11190	1656842	60
AL	35224	2250	4540	65319	80
AL	35226	15940	33460	1469271	310
AL	35228	4470	8750	128325	140
AL	35233	500	650	33923	0
AL	35234	2090	4160	48946	80
AL	35235	9140	17290	395524	300
AL	35242	25200	51690	3163410	480
AL	35243	9340	17490	1192777	190
AL	35244	15780	32530	1471450	340
AL	35401	10330	17580	323388	340
AL	35404	7950	14870	308163	230
AL	35405	17830	34500	847208	540
AL	35406	6470	13600	824198	80
AL	35441	430	880	15968	0
AL	35442	1950	4030	68443	90
AL	35443	710	1560	19271	50
AL	35444	1540	3440	78116	60
AL	35446	800	1740	35677	30
AL	35447	1300	2760	49539	60
AL	35452	1550	3350	75938	30
AL	35453	4750	9960	222666	150
AL	35456	1810	3680	80193	60
AL	35458	230	510	10757	0
AL	35459	330	670	11348	0
AL	35460	230	480	6790	0
AL	35461	710	1440	28791	30
AL	35462	1940	4040	62814	120
AL	35463	780	1680	35948	20
AL	35464	250	480	6809	0
AL	35466	2270	5020	108916	70
AL	35469	130	280	5003	0
AL	35470	1900	3660	78779	70
AL	35473	6960	13630	386320	140
AL	35474	2760	5990	128984	100
AL	35475	6500	14260	467102	140
AL	35476	3850	8160	139436	100
AL	35480	660	1410	33581	20
AL	35481	1310	2710	51977	50
AL	35490	1800	4150	94591	60
AL	35501	3840	8560	152705	120
AL	35503	3330	7050	155787	130
AL	35504	5060	10870	302992	130
AL	35540	920	1920	36948	40
AL	35541	1240	2620	67644	40
AL	35542	410	950	18236	0
AL	35543	370	820	12817	30
AL	35544	250	500	9304	20
AL	35546	1430	3150	63426	70
AL	35548	590	1200	19195	70
AL	35549	1370	2820	52038	70
AL	35550	1890	4090	82814	80
AL	35552	350	760	12895	30
AL	35553	1690	3580	68251	150
AL	35554	380	860	16695	30
AL	35555	3760	7930	161456	160
AL	35563	1520	3320	70244	120
AL	35564	760	1600	27583	70
AL	35565	4720	10260	200939	410
AL	35570	3900	8340	155619	280
AL	35571	320	690	12419	30
AL	35572	390	810	17284	20
AL	35574	560	1170	24973	30
AL	35575	360	770	14569	20
AL	35576	1140	2470	52653	40
AL	35578	1860	4120	76051	100
AL	35579	1150	2490	51226	40
AL	35580	1440	3050	64155	50
AL	35581	1930	4200	69755	170
AL	35582	1670	3430	82986	100
AL	35585	580	1250	25440	40
AL	35586	1580	3470	62798	80
AL	35587	320	690	14226	0
AL	35592	1650	3640	72398	60
