"ZIP","Date","offCat","planeX","planeY","GPS"
"11209",2015-04-01,"FELONY",975653,170433,"(40.634479815, -74.030975675)"
"11220",2015-04-01,"MISDEMEANOR",984137,172125,"(40.639128168, -74.0004086)"
"11207",2015-04-01,"VIOLATION",1012596,180697,"(40.662611079, -73.897830211)"
"10036",2015-04-01,"FELONY",987202,216308,"(40.760399691, -73.989345547)"
"10022",2015-04-01,"MISDEMEANOR",992908,214186,"(40.754571597, -73.9687512)"
"10013",2015-04-01,"MISDEMEANOR",985280,203781,"(40.72601663, -73.996285351)"
"10453",2015-04-01,"FELONY",1005303,248396,"(40.848447832, -73.923905353)"
"11224",2015-04-01,"MISDEMEANOR",985975,148996,"(40.575643619, -73.99379189)"
"11101",2015-04-01,"MISDEMEANOR",1000175,211968,"(40.748473647, -73.942526896)"
"11106",2015-04-01,"VIOLATION",1003773,219653,"(40.769559791, -73.929519126)"
"11433",2015-04-01,"MISDEMEANOR",1044587,197323,"(40.708085309, -73.782372291)"
"11210",2015-04-01,"VIOLATION",998871,168503,"(40.629174481, -73.947327452)"
"10065",2015-04-01,"MISDEMEANOR",996993,218540,"(40.766517267, -73.953998521)"
"10451",2015-04-01,"FELONY",1008506,239282,"(40.823424329, -73.912361068)"
"11231",2015-04-01,"FELONY",987206,188576,"(40.684282045, -73.989343283)"
"11357",2015-04-01,"VIOLATION",1039656,227914,"(40.792081925, -73.799905783)"
"11221",2015-04-01,"FELONY",1005363,194603,"(40.70080008, -73.923857486)"
"11233",2015-04-01,"FELONY",1009374,189100,"(40.685685145, -73.909412362)"
"10075",2015-04-01,"FELONY",997933,220972,"(40.77319107, -73.95060012)"
"11236",2015-04-01,"FELONY",1007587,178073,"(40.655423396, -73.915893881)"
"10003",2015-04-01,"FELONY",988281,208343,"(40.738537345, -73.985455428)"
"11223",2015-04-01,"FELONY",993151,159142,"(40.603488065, -73.967946808)"
"11236",2015-04-01,"MISDEMEANOR",1015294,173667,"(40.643306226, -73.888137822)"
"10461",2015-04-01,"MISDEMEANOR",1032036,248098,"(40.847525706, -73.827281186)"
"11211",2015-04-01,"MISDEMEANOR",1001522,195568,"(40.703457109, -73.937707559)"
"10310",2015-04-01,"FELONY",950823,170806,"(40.635444717, -74.120437756)"
"11221",2015-04-01,"MISDEMEANOR",1002381,193238,"(40.697060086, -73.934615728)"
"11205",2015-04-01,"MISDEMEANOR",994035,193182,"(40.696919541, -73.964713935)"
"10037",2015-04-01,"FELONY",1002155,236548,"(40.815935426, -73.935315421)"
"10037",2015-04-01,"FELONY",1002033,236329,"(40.815334579, -73.935756755)"
"11419",2015-04-01,"FELONY",1035382,189987,"(40.68800772, -73.815629333)"
"10466",2015-04-01,"MISDEMEANOR",1026609,265329,"(40.894847163, -73.846787851)"
"11216",2015-04-01,"VIOLATION",998458,184599,"(40.673355172, -73.948781431)"
"10023",2015-04-01,"VIOLATION",989668,225399,"(40.785350946, -73.980436642)"
"11693",2015-04-01,"FELONY",1035354,152907,"(40.586231405, -73.816011121)"
"10460",2015-04-01,"MISDEMEANOR",1014407,246124,"(40.842185464, -73.891009176)"
"11358",2015-04-01,"MISDEMEANOR",1042159,218322,"(40.765738441, -73.790949042)"
"10469",2015-04-01,"VIOLATION",1030386,260908,"(40.88269399, -73.833156832)"
"11356",2015-04-01,"FELONY",1027206,228391,"(40.793460446, -73.844865103)"
"10036",2015-04-01,"MISDEMEANOR",987783,216428,"(40.760728848, -73.987248234)"
"11223",2015-04-01,"MISDEMEANOR",992216,159978,"(40.605783605, -73.97131298)"
"11365",2015-04-01,"FELONY",1036384,205388,"(40.730273881, -73.811897078)"
"11220",2015-04-01,"FELONY",982651,169623,"(40.632260565, -74.005762307)"
"10065",2015-04-01,"MISDEMEANOR",995478,217280,"(40.763060946, -73.959469859)"
"10026",2015-04-01,"FELONY",998181,231480,"(40.80203233, -73.949682945)"
"11232",2015-04-01,"MISDEMEANOR",980927,177493,"(40.653861548, -74.011977397)"
"11428",2015-04-01,"MISDEMEANOR",1053534,202932,"(40.723415079, -73.750043848)"
"10009",2015-04-01,"MISDEMEANOR",990563,203120,"(40.724200154, -73.977225643)"
"10462",2015-04-01,"FELONY",1021823,252489,"(40.859627046, -73.864170921)"
"10314",2015-04-01,"VIOLATION",947273,168927,"(40.630273156, -74.133217966)"
"11214",2015-04-01,"FELONY",987063,158062,"(40.600527707, -73.989871603)"
"10462",2015-04-01,"MISDEMEANOR",1021823,252489,"(40.859627046, -73.864170921)"
"11209",2015-04-01,"VIOLATION",975272,163919,"(40.616599871, -74.03233972)"
"11378",2015-04-01,"VIOLATION",1005927,202234,"(40.721743994, -73.921798855)"
"10458",2015-04-01,"MISDEMEANOR",1018657,258715,"(40.876728412, -73.875584376)"
"10455",2015-04-01,"FELONY",1011499,236432,"(40.815593159, -73.901558513)"
"10027",2015-04-01,"VIOLATION",1000126,238706,"(40.821862408, -73.942640554)"
"10456",2015-04-01,"MISDEMEANOR",1010628,240596,"(40.827024803, -73.90468882)"
"11209",2015-04-01,"MISDEMEANOR",977791,169378,"(40.63158588, -74.02327164)"
"10466",2015-04-01,"MISDEMEANOR",1028102,264267,"(40.891925021, -73.841394598)"
"10035",2015-04-01,"MISDEMEANOR",1001508,232696,"(40.805364044, -73.937662763)"
"11373",2015-04-01,"FELONY",1014534,211896,"(40.74823851, -73.890704522)"
"10457",2015-04-01,"FELONY",1008856,250062,"(40.853011321, -73.911056922)"
"11214",2015-04-01,"MISDEMEANOR",986807,156900,"(40.597338329, -73.990793918)"
"11221",2015-04-01,"MISDEMEANOR",1009127,193992,"(40.699113248, -73.910284899)"
"10002",2015-04-01,"FELONY",986952,200274,"(40.716390408, -73.990254415)"
"10039",2015-04-01,"FELONY",1001743,240361,"(40.826401859, -73.936793928)"
"10035",2015-04-01,"MISDEMEANOR",1004138,226326,"(40.787874599, -73.928181646)"
"11211",2015-04-01,"MISDEMEANOR",998843,202484,"(40.722444704, -73.947354755)"
"10453",2015-04-01,"FELONY",1005984,252988,"(40.861049851, -73.921428991)"
"10007",2015-04-01,"MISDEMEANOR",981028,199397,"(40.713983077, -74.011623876)"
"10456",2015-04-01,"MISDEMEANOR",1010651,240263,"(40.826110743, -73.904607024)"
"10029",2015-04-01,"FELONY",998869,230618,"(40.799665264, -73.94719978)"
"10314",2015-04-01,"MISDEMEANOR",942999,160525,"(40.607192568, -74.14856448)"
"10461",2015-04-01,"MISDEMEANOR",1027434,251387,"(40.856576728, -73.843893678)"
"10461",2015-04-01,"MISDEMEANOR",1027902,251142,"(40.855901976, -73.842203483)"
"10007",2015-04-01,"MISDEMEANOR",982222,200436,"(40.716835239, -74.00731718)"
"11102",2015-04-01,"FELONY",1004569,221494,"(40.774611061, -73.926639826)"
"11214",2015-04-01,"FELONY",985929,156007,"(40.594887434, -73.993955738)"
"10474",2015-04-01,"MISDEMEANOR",1014216,238784,"(40.822039935, -73.891732267)"
"10002",2015-04-01,"MISDEMEANOR",987242,203954,"(40.726491028, -73.989206652)"
"10002",2015-04-01,"MISDEMEANOR",987058,203626,"(40.725590807, -73.98987064)"
"10009",2015-04-01,"MISDEMEANOR",987902,203591,"(40.725494433, -73.986825644)"
"10009",2015-04-01,"MISDEMEANOR",990294,203411,"(40.724999066, -73.97819587)"
"10009",2015-04-01,"MISDEMEANOR",990832,202826,"(40.723392998, -73.976255443)"
"10009",2015-04-01,"MISDEMEANOR",990905,204076,"(40.726823891, -73.975990843)"
"10009",2015-04-01,"MISDEMEANOR",988023,203090,"(40.724119259, -73.986389377)"
"10009",2015-04-01,"MISDEMEANOR",988391,203755,"(40.725944358, -73.985061313)"
"10009",2015-04-01,"MISDEMEANOR",989094,202787,"(40.723287075, -73.982525685)"
"10009",2015-04-01,"MISDEMEANOR",988519,202508,"(40.722521583, -73.984600298)"
"10009",2015-04-01,"MISDEMEANOR",989399,203335,"(40.72479103, -73.981424915)"
"11211",2015-04-01,"MISDEMEANOR",1000930,197100,"(40.707663223, -73.939838894)"
"10462",2015-04-01,"MISDEMEANOR",1019953,252096,"(40.858556141, -73.87093326)"
"10466",2015-04-01,"MISDEMEANOR",1025924,262375,"(40.886742638, -73.849283892)"
"11372",2015-04-01,"FELONY",1017025,212930,"(40.751067696, -73.881709312)"
"11233",2015-04-01,"MISDEMEANOR",1009783,185872,"(40.676823851, -73.90794987)"
"11217",2015-04-01,"MISDEMEANOR",989539,190263,"(40.688911389, -73.980930089)"
"10474",2015-04-01,"MISDEMEANOR",1014216,238784,"(40.822039935, -73.891732267)"
"10022",2015-04-01,"MISDEMEANOR",990499,217618,"(40.76399359, -73.977443073)"
"10465",2015-04-01,"FELONY",1032140,242004,"(40.830798914, -73.826948796)"
"11105",2015-04-01,"VIOLATION",1008254,223351,"(40.779698797, -73.913328531)"
"11416",2015-04-01,"VIOLATION",1027816,188932,"(40.685152466, -73.842917625)"
"11220",2015-04-01,"VIOLATION",981460,171258,"(40.636747998, -74.010053908)"
