"ZIP","offCat"
"11209","FELONY"
"11220","MISDEMEANOR"
"11207","VIOLATION"
"10036","FELONY"
"10022","MISDEMEANOR"
"10013","MISDEMEANOR"
"10453","FELONY"
"11224","MISDEMEANOR"
"11101","MISDEMEANOR"
"11106","VIOLATION"
"11433","MISDEMEANOR"
"11210","VIOLATION"
"10065","MISDEMEANOR"
"10451","FELONY"
"11231","FELONY"
"11357","VIOLATION"
"11221","FELONY"
"11233","FELONY"
"10075","FELONY"
"11236","FELONY"
"10003","FELONY"
"11223","FELONY"
"11236","MISDEMEANOR"
"10461","MISDEMEANOR"
"11211","MISDEMEANOR"
"10310","FELONY"
"11221","MISDEMEANOR"
"11205","MISDEMEANOR"
"10037","FELONY"
"10037","FELONY"
"11419","FELONY"
"10466","MISDEMEANOR"
"11216","VIOLATION"
"10023","VIOLATION"
"11693","FELONY"
"10460","MISDEMEANOR"
"11358","MISDEMEANOR"
"10469","VIOLATION"
"11356","FELONY"
"10036","MISDEMEANOR"
"11223","MISDEMEANOR"
"11365","FELONY"
"11220","FELONY"
"10065","MISDEMEANOR"
"10026","FELONY"
"11232","MISDEMEANOR"
"11428","MISDEMEANOR"
"10009","MISDEMEANOR"
"10462","FELONY"
"10314","VIOLATION"
"11214","FELONY"
"10462","MISDEMEANOR"
"11209","VIOLATION"
"11378","VIOLATION"
"10458","MISDEMEANOR"
"10455","FELONY"
"10027","VIOLATION"
"10456","MISDEMEANOR"
"11209","MISDEMEANOR"
"10466","MISDEMEANOR"
"10035","MISDEMEANOR"
"11373","FELONY"
"10457","FELONY"
"11214","MISDEMEANOR"
"11221","MISDEMEANOR"
"10002","FELONY"
"10039","FELONY"
"10035","MISDEMEANOR"
"11211","MISDEMEANOR"
"10453","FELONY"
"10007","MISDEMEANOR"
"10456","MISDEMEANOR"
"10029","FELONY"
"10314","MISDEMEANOR"
"10461","MISDEMEANOR"
"10461","MISDEMEANOR"
"10007","MISDEMEANOR"
"11102","FELONY"
"11214","FELONY"
"10474","MISDEMEANOR"
"10002","MISDEMEANOR"
"10002","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"10009","MISDEMEANOR"
"11211","MISDEMEANOR"
