"MISDEMEANOR","FELONY","VIOLATION"
"CRIMINAL MISCHIEF 4TH, GRAFFIT","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","HARASSMENT,SUBD 3,4,5"
"AGGRAVATED HARASSMENT 2","FRAUD,UNCLASSIFIED-FELONY","HARASSMENT,SUBD 1,CIVILIAN"
"UNAUTHORIZED USE VEHICLE 3","AGGRAVATED HARASSMENT 1","TRESPASS 4,CRIMINAL SUB 2"
"LARCENY,PETIT BY CHECK USE","COURSE OF SEXUAL CONDUCT AGAIN","MARIJUANA, POSSESSION"
"SEXUAL MISCONDUCT,INTERCOURSE","CRIMINAL CONTEMPT 1","THEFT OF SERVICES- CABLE TV SE"
"LARCENY, PETIT OF MOPED","LARCENY,GRAND BY DISHONEST EMP","DISORDERLY CONDUCT"
"LARCENY,PETIT FROM OPEN AREAS,","SODOMY 2","ALCOHOLIC BEVERAGES,PUBLIC CON"
"CRIMINAL MISCHIEF,UNCLASSIFIED 4","TAMPERING 1,CRIMINAL","ADM.CODE,UNCLASSIFIED VIOLATIO"
"FRAUD,UNCLASSIFIED-MISDEMEANOR","LARCENY,GRAND FROM RESIDENCE, UNATTENDED","CONFINING ANIMAL IN VEHICLE/SHELTER"
"CHILD, ENDANGERING WELFARE","LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)","IMITATION PISTOL/AIR RIFLE"
"PETIT LARCENY-CHECK FROM MAILB","LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT","EXPOSURE OF A PERSON"
"LARCENY,PETIT FROM BUILDING,UN","SEXUAL ABUSE","FIREWORKS, POSSESS/USE"
"TRESPASS 2, CRIMINAL","FORGERY,ETC.,UNCLASSIFIED-FELO","NA"
"LARCENY,PETIT OF LICENSE PLATE","SODOMY 1","NA"
"LARCENY,PETIT FROM AUTO","RAPE 2","NA"
"ADM.CODE,UNCLASSIFIED MISDEMEA","LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","NA"
"MISCHIEF, CRIMINAL 4, OF MOTOR","MISCHIEF, CRIMINAL 3 & 2, OF M","NA"
"LARCENY,PETIT OF BICYCLE","CRIMINAL MIS 2 & 3","NA"
"ASSAULT 3","LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","NA"
"OBSTR BREATH/CIRCUL","MISCHIEF,CRIMINAL,    UNCL 2ND","NA"
"SEXUAL ABUSE 3,2","LARCENY,GRAND BY ACQUIRING LOS","NA"
"MISCHIEF, CRIMINAL 4, BY FIRE","LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT","NA"
"RECKLESS ENDANGERMENT 2","LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED","NA"
"PETIT LARCENY OF ANIMAL","BURGLARY,RESIDENCE,UNKNOWN TIM","NA"
"LARCENY,PETIT BY FALSE PROMISE","ARSON 2,3,4","NA"
"LARCENY,PETIT BY CREDIT CARD U","ASSAULT 2,1,UNCLASSIFIED","NA"
"LARCENY,PETIT OF VEHICLE ACCES","LARCENY,GRAND FROM EATERY, UNATTENDED","NA"
"CONTEMPT,CRIMINAL","LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","NA"
"LARCENY,PETIT FROM STORE-SHOPL","BURGLARY,RESIDENCE,NIGHT","NA"
"FALSE REPORT UNCLASSIFIED","LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","NA"
"LEAVING SCENE-ACCIDENT-PERSONA","LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION","NA"
"PUBLIC ADMINISTATION,UNCLASS M","LARCENY,GRAND BY EXTORTION","NA"
"INTOXICATED DRIVING,ALCOHOL","STRANGULATION 1ST","NA"
"BURGLARS TOOLS,UNCLASSIFIED","ROBBERY,OPEN AREA UNCLASSIFIED","NA"
"MENACING,UNCLASSIFIED","BURGLARY,RESIDENCE,DAY","NA"
"LARCENY,PETIT BY ACQUIRING LOS","BURGLARY,COMMERCIAL,DAY","NA"
"THEFT OF SERVICES, UNCLASSIFIE","LARCENY,GRAND OF AUTO","NA"
"MARIJUANA, POSSESSION 4 & 5","BURGLARY,UNKNOWN TIME","NA"
"IMPERSONATION 2, PUBLIC SERVAN","ARSON, MOTOR VEHICLE 1 2 3 & 4","NA"
"VIOLATION OF ORDER OF PROTECTI","ROBBERY,DWELLING","NA"
"TRESPASS 3, CRIMINAL","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","NA"
"CUSTODIAL INTERFERENCE 2","LARCENY,GRAND FROM STORE-SHOPL","NA"
"LEWDNESS,PUBLIC","LARCENY,GRAND OF MOTORCYCLE","NA"
"DRUG PARAPHERNALIA,   POSSESSE","LARCENY,GRAND FROM NIGHT CLUB, UNATTENDED","NA"
"WEAPONS, POSSESSION, ETC","FORGERY,M.V. REGISTRATION","NA"
"LARCENY,PETIT BY DISHONEST EMP","ROBBERY,COMMERCIAL UNCLASSIFIED","NA"
"IMPRISONMENT 2,UNLAWFUL","CONTROLLED SUBSTANCE,INTENT TO","NA"
"TAMPERING 3,2, CRIMINAL","ROBBERY,HOME INVASION","NA"
"TRAFFIC,UNCLASSIFIED MISDEMEAN","WEAPONS POSSESSION 1 & 2","NA"
"CONTROLLED SUBSTANCE, POSSESSI","ROBBERY,PERSONAL ELECTRONIC DEVICE","NA"
"RESISTING ARREST","LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD","NA"
"FORGERY,ETC.-MISD.","BURGLARY,COMMERCIAL,NIGHT","NA"
"LARCENY,PETIT OF MOTORCYCLE","ROBBERY,NECKCHAIN/JEWELRY","NA"
"STOLEN PROPERTY 3,POSSESSION","LARCENY,GRAND FROM PERSON, BAG OPEN/DIP","NA"
"IMPAIRED DRIVING,DRUG","LARCENY,GRAND BY THEFT OF CREDIT CARD","NA"
"MARIJUANA, SALE 4 & 5","BURGLARY,TRUCK NIGHT","NA"
"GAMBLING 2,PROMOTING,UNCLASSIF","RECKLESS ENDANGERMENT 1","NA"
"JOSTLING","NA","NA"
"RECKLESS ENDANGERMENT OF PROPE","ROBBERY,BEGIN AS SHOPLIFTING","NA"
"NEGLECT/POISON ANIMAL","AGGRAVATED CRIMINAL CONTEMPT","NA"
"LARCENY,PETIT FROM TRUCK","ROBBERY,CLOTHING","NA"
"BAIL JUMPING 3","ROBBERY,GAS STATION","NA"
"MENACING,PEACE OFFICER","WEAPONS POSSESSION 3","NA"
"UNAUTH. SALE OF TRANS. SERVICE","LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","NA"
"COMPUTER UNAUTH. USE/TAMPER","BRIBERY,PUBLIC ADMINISTRATION","NA"
"ALCOHOLIC BEVERAGE CONTROL LAW","MARIJUANA, POSSESSION 1, 2 & 3","NA"
"NY STATE LAWS,UNCLASSIFIED MIS","ROBBERY,RESIDENTIAL COMMON AREA","NA"
"ACCOSTING,FRAUDULENT","LARCENY,GRAND FROM RETAIL STORE, UNATTENDED","NA"
"ABANDON ANIMAL","TRESPASS 1,CRIMINAL","NA"
"GAMBLING, DEVICE, POSSESSION","LARCENY,GRAND FROM PERSON,UNCL","NA"
