"ZIP","0_25000","25000_50000","50000_75000","75000_100000","100000_200000","200000_","nbrReturns","medianInc","jl_benef"
10001,"3740","2500","1950","1410","2580","2340","14520","63077",420
10002,"21180","8210","4810","2710","3620","1650","42180","24894",920
10003,"5030","3870","3960","3220","6300","6280","28660","86413",640
10004,"360","250","290","210","520","850","2480","125000",60
10005,"690","750","860","660","1360","1620","5940","100735",100
10006,"310","290","330","250","620","570","2370","100806",50
10007,"470","320","280","210","590","1570","3440","174576",60
10009,"9560","6660","5480","3580","5030","2100","32410","49944",870
10010,"2560","2280","2550","1980","4010","3980","17360","91288",370
10011,"5120","3680","3650","3130","6870","7470","29920","95048",750
10012,"2390","1740","1730","1340","2730","2540","12470","81996",260
10013,"4260","2060","1630","1160","2030","3800","14940","67638",230
10014,"2770","2160","2330","2040","4640","4720","18660","100647",440
10016,"5170","4650","5170","3820","6930","6200","31940","81414",640
10017,"1820","1380","1490","1250","2650","3260","11850","99700",230
10018,"1430","1020","820","580","1200","1340","6390","72713",140
10019,"4920","3650","3560","2540","5400","5040","25110","79183",680
10021,"3460","2600","3150","2520","4890","6910","23530","100716",420
10022,"2770","2130","2320","2010","4480","6130","19840","115402",340
10023,"5910","3920","3720","3290","7610","9620","34070","102562",890
10024,"5710","3590","3570","2860","6110","8570","30410","95411",770
10025,"12490","7810","6190","4190","7460","7470","45610","60117",1240
10026,"6900","4270","2550","1410","1880","1030","18040","37412",630
10027,"11490","6590","3430","1830","2430","1410","27180","32967",800
10028,"3920","2860","3730","2950","5300","6340","25100","92288",490
10029,"16590","9360","4620","1880","1780","830","35060","27511",1040
10030,"6490","3620","1810","810","700","200","13630","27244",430
10031,"13840","7940","4010","1660","1510","380","29340","27613",1050
10032,"14390","7810","3820","1520","1420","340","29300","25832",1050
10033,"12800","6580","3400","1580","1940","630","26930","27527",1070
10034,"9300","4880","2830","1390","1430","310","20140","28945",770
10035,"7040","3890","1950","910","1020","320","15130","28374",500
10036,"4480","3160","2580","1920","3800","2780","18720","66667",730
10037,"3870","2750","1850","1000","920","140","10530","37682",350
10038,"3440","1930","1590","1120","2190","1820","12090","60613",280
10039,"6250","3600","1810","770","690","170","13290","27743",480
10040,"9790","5360","2970","1390","1410","380","21300","29011",870
10044,"1150","740","640","440","820","470","4260","59375",100
10065,"2350","2050","2070","1610","3240","4460","15780","97050",290
10069,"370","260","240","190","580","1250","2890","166379",50
10075,"2160","1600","1960","1560","3110","3690","14080","96154",260
10128,"5890","4300","4920","3600","6500","7740","32950","84479",720
10162,"100","50","60","60","190","290","750","155263",0
10280,"480","360","460","400","1140","1360","4200","135088",80
10282,"220","140","130","130","360","1330","2310",NA,40
10301,"6490","3910","2720","1680","2430","850","18080","41304",450
10302,"3220","1860","1160","730","960","150","8080","36022",210
10303,"5280","2940","1700","1020","1140","90","12170","31845",310
10304,"8240","4420","2400","1520","2250","890","19720","34163",500
10305,"6700","4150","2840","2040","2980","590","19300","42771",590
10306,"8250","5130","4030","3000","5120","1310","26840","50248",820
10307,"1790","1090","850","710","1470","590","6500","60882",190
10308,"3780","2400","1970","1700","3060","710","13620","57995",390
10309,"4100","2550","2080","1690","3470","1110","15000","60216",520
10310,"4370","2330","1490","1070","1760","440","11460","39592",290
10312,"7860","5230","4240","3480","6650","1770","29230","58992",920
10314,"12330","8150","6040","4590","7790","1840","40740","49663",1160
10451,"12230","6570","2730","1020","690","50","23290","23804",790
10452,"21350","9730","3590","960","550","20","36200","21194",1230
10453,"23280","9690","3160","900","540","30","37600","20189",1270
10454,"9740","4170","1320","350","240","20","15840","20329",510
10455,"10300","4900","1780","500","300","0","17780","21578",660
10456,"24520","10970","3410","960","530","0","40390","20590",1390
10457,"20000","8480","2830","900","470","40","32720","20450",1010
10458,"19820","9110","3470","1120","760","40","34320","21645",1060
10459,"12280","5930","1990","660","420","0","21280","21661",800
10460,"14600","6900","2300","800","490","30","25120","21507",890
10461,"8580","6210","4160","2280","2530","330","24090","38949",710
10462,"16080","10910","6950","3110","2300","160","39510","33421",1130
10463,"12390","7620","5120","3080","4290","1440","33940","40026",1020
10464,"560","400","360","270","420","160","2170","58681",70
10465,"6210","4410","3330","2180","3050","520","19700","45635",670
10466,"14740","9390","4410","2150","1930","120","32740","29340",910
10467,"22140","12740","5830","2200","1630","100","44640","25353",1290
10468,"20220","9370","3790","1350","870","60","35660","22045",1130
10469,"13400","8810","4920","2570","2670","300","32670","33329",880
10470,"2840","1940","1230","670","840","140","7660","37758",220
10471,"2360","1650","1640","1230","2100","1090","10070","65625",230
10472,"16190","7800","3010","1110","720","50","28880","22298",920
10473,"12730","7720","3940","1830","1570","120","27910","28967",1080
10474,"2940","1410","490","140","70","0","5050","21471",160
10475,"7390","6500","4680","2430","1700","90","22790","40404",500
10504,"960","380","320","260","720","2070","4710","160417",70
10516,"690","430","340","290","650","340","2740","68382",70
10528,"1540","910","760","540","990","1160","5900","66447",120
10550,"8570","5550","2600","1200","1070","70","19060","29324",630
10583,"4010","1710","1570","1260","3280","6900","18730","124848",320
10598,"3580","1960","1680","1320","3850","2170","14560","76136",380
10601,"1750","1200","840","570","990","700","6050","52232",120
10603,"2810","2010","1580","1070","1770","730","9970","52611",280
10606,"3030","1920","1030","620","1030","650","8280","39453",190
