"ZIP","Borough","Sani","ConsumProt","NoiseBiz","NoiseResid","WaterSyst","Traffic","NoiseTraf","UrbInf","HousCond","SocServ","IAO","NoiseConst","EnvProt","Violation","Misdemeanor","Felony","medianInc","jlBenef"
10001,"Manhattan",112,77,45,84,40,58,16,143,146,80,44,136,30,11,162,65,63077,420
10002,"Manhattan",166,112,173,236,56,93,40,225,289,21,50,85,35,62,292,160,24894,920
10003,"Manhattan",181,232,69,219,51,86,10,179,165,80,62,169,45,18,91,52,86413,640
10004,"Manhattan",11,13,3,7,11,23,3,47,9,3,17,21,5,10,53,12,125000,60
10005,"Manhattan",8,16,2,18,2,8,25,37,6,2,28,43,3,5,21,7,100735,100
10006,"Manhattan",5,11,5,11,6,19,1,16,6,7,11,51,2,3,40,9,100806,50
10007,"Manhattan",17,15,11,25,10,27,4,78,28,13,34,31,4,13,51,34,174576,60
10009,"Manhattan",160,90,97,300,37,87,14,99,202,31,40,122,30,52,255,107,49944,870
10010,"Manhattan",80,38,51,114,13,30,8,104,91,25,26,48,10,34,139,78,91288,370
10011,"Manhattan",220,70,62,172,49,79,30,222,167,55,55,157,36,40,186,90,95048,750
10012,"Manhattan",119,75,73,152,32,29,16,93,96,46,23,145,13,9,92,42,81996,260
10013,"Manhattan",118,47,44,94,52,74,28,122,90,34,32,114,11,38,253,118,67638,230
10014,"Manhattan",143,53,82,106,31,60,25,147,152,17,31,175,35,31,95,87,100647,440
10016,"Manhattan",129,105,52,107,31,36,17,161,181,57,42,108,41,30,160,76,81414,640
10017,"Manhattan",29,61,9,25,26,28,4,90,42,24,15,40,7,1,18,9,99700,230
10018,"Manhattan",45,56,24,18,32,26,3,91,70,30,24,54,7,0,0,3,72713,140
10019,"Manhattan",144,111,59,111,65,89,32,203,226,45,58,148,39,27,126,61,79183,680
10020,"Manhattan",1,1,0,0,0,2,0,5,6,0,2,1,0,0,0,0,NA,NA
10021,"Manhattan",87,28,6,52,27,31,3,85,78,43,37,47,43,0,3,2,100716,420
10022,"Manhattan",80,75,28,55,61,28,12,163,123,43,32,67,25,15,129,95,115402,340
10023,"Manhattan",141,32,16,117,43,111,18,173,148,70,58,121,31,20,129,68,102562,890
10024,"Manhattan",187,24,13,134,18,60,7,206,234,22,54,54,35,1,7,4,95411,770
10025,"Manhattan",317,55,41,296,17,57,25,200,432,44,52,52,53,6,43,33,60117,1240
10026,"Manhattan",118,19,48,310,10,67,33,91,198,13,30,13,15,44,234,91,37412,630
